Player,Pfr_ID,Pos,From,To,Link,Text
Isaako Aaitui,AaitIs00,NT,2013,2014,/players/A/AaitIs00.htm,Isaako Aaitui (NT) 2013-2014
Joe Abbey,AbbeJo20,E,1948,1949,/players/A/AbbeJo20.htm,Joe Abbey (E) 1948-1949
Fay Abbott,AbboFa20,BB-FB-TB-QB-WB-E,1921,1929,/players/A/AbboFa20.htm,Fay Abbott (BB-FB-TB-QB-WB-E) 1921-1929
Vince Abbott,abbotvin01,K,1987,1988,/players/A/abbotvin01.htm,Vince Abbott (K) 1987-1988
Jared Abbrederis,AbbrJa00,WR,2014,2017,/players/A/AbbrJa00.htm,Jared Abbrederis (WR) 2014-2017
Duke Abbruzzi,AbbrDu20,HB-DB,1946,1946,/players/A/AbbrDu20.htm,Duke Abbruzzi (HB-DB) 1946-1946
Mehdi Abdesmad,AbdeMe00,DE,2016,2016,/players/A/AbdeMe00.htm,Mehdi Abdesmad (DE) 2016-2016
Karim Abdul-Jabbar,AbduKa00,RB,1996,2000,/players/A/AbduKa00.htm,Karim Abdul-Jabbar (RB) 1996-2000
Isa Abdul-Quddus,AbduIs00,S,2011,2016,/players/A/AbduIs00.htm,Isa Abdul-Quddus (S) 2011-2016
Ameer Abdullah,AbduAm00,RB,2015,2017,/players/A/AbduAm00.htm,Ameer Abdullah (RB) 2015-2017
Hamza Abdullah,AbduHa20,DB,2005,2011,/players/A/AbduHa20.htm,Hamza Abdullah (DB) 2005-2011
Husain Abdullah,AbduHu99,DB,2008,2015,/players/A/AbduHu99.htm,Husain Abdullah (DB) 2008-2015
Khalid Abdullah,AbduKh20,LB,2003,2003,/players/A/AbduKh20.htm,Khalid Abdullah (LB) 2003-2003
Rabih Abdullah,AbduRa00,RB,1999,2004,/players/A/AbduRa00.htm,Rabih Abdullah (RB) 1999-2004
Rahim Abdullah,AbduRa20,LB,1999,2000,/players/A/AbduRa20.htm,Rahim Abdullah (LB) 1999-2000
Fred Abel,AbelFr20,BB-FB,1926,1926,/players/A/AbelFr20.htm,Fred Abel (BB-FB) 1926-1926
Bud Abell,AbelBu20,LB,1966,1968,/players/A/AbelBu20.htm,Bud Abell (LB) 1966-1968
Walter Abercrombie,AberWa00,RB,1982,1988,/players/A/AberWa00.htm,Walter Abercrombie (RB) 1982-1988
Cliff Aberson,AberCl20,TB-DB,1946,1946,/players/A/AberCl20.htm,Cliff Aberson (TB-DB) 1946-1946
Victor Abiamiri,AbiaVi99,DE,2007,2009,/players/A/AbiaVi99.htm,Victor Abiamiri (DE) 2007-2009
Oday Aboushi,AbouOd00,OT,2014,2017,/players/A/AbouOd00.htm,Oday Aboushi (OT) 2014-2017
Clifton Abraham,AbraCl20,DB,1995,1997,/players/A/AbraCl20.htm,Clifton Abraham (DB) 1995-1997
Donnie Abraham,AbraDo00,DB,1996,2004,/players/A/AbraDo00.htm,Donnie Abraham (DB) 1996-2004
John Abraham,AbraJo00,DE,2000,2014,/players/A/AbraJo00.htm,John Abraham (DE) 2000-2014
Robert Abraham,AbraRo20,LB,1982,1987,/players/A/AbraRo20.htm,Robert Abraham (LB) 1982-1987
Danny Abramowicz,AbraDa00,E,1967,1974,/players/A/AbraDa00.htm,Danny Abramowicz (E) 1967-1974
Sid Abramowitz,AbraSi20,T,1983,1987,/players/A/AbraSi20.htm,Sid Abramowitz (T) 1983-1987
Bobby Abrams,AbraBo20,LB,1990,1995,/players/A/AbraBo20.htm,Bobby Abrams (LB) 1990-1995
Kevin Abrams,AbraKe20,DB,1997,1999,/players/A/AbraKe20.htm,Kevin Abrams (DB) 1997-1999
Nate Abrams,AbraNa20,E,1921,1921,/players/A/AbraNa20.htm,Nate Abrams (E) 1921-1921
George Abramson,AbraGe20,G-T,1925,1925,/players/A/AbraGe20.htm,George Abramson (G-T) 1925-1925
Dick Abrell,AbreDi20,BB-WB,1920,1920,/players/A/AbreDi20.htm,Dick Abrell (BB-WB) 1920-1920
Ray Abruzzese,AbruRa20,B,1962,1966,/players/A/AbruRa20.htm,Ray Abruzzese (B) 1962-1966
Frank Abruzzino,AbruFr20,BB-LB-C-G-E-WB-DB,1931,1933,/players/A/AbruFr20.htm,Frank Abruzzino (BB-LB-C-G-E-WB-DB) 1931-1933
Dick Absher,AbshDi20,LB-K,1967,1972,/players/A/AbshDi20.htm,Dick Absher (LB-K) 1967-1972
Steve Ache,AcheSt20,LB,1987,1987,/players/A/AcheSt20.htm,Steve Ache (LB) 1987-1987
George Achica,AchiGe20,DT,1985,1985,/players/A/AchiGe20.htm,George Achica (DT) 1985-1985
Sneeze Achiu,AchiSn20,WB-TB-E-BB,1927,1928,/players/A/AchiSn20.htm,Sneeze Achiu (WB-TB-E-BB) 1927-1928
Emmanuel Acho,AchoEm00,OLB,2012,2014,/players/A/AchoEm00.htm,Emmanuel Acho (OLB) 2012-2014
Sam Acho,AchoSa00,OLB,2011,2017,/players/A/AchoSa00.htm,Sam Acho (OLB) 2011-2017
Bill Acker,AckeBi20,NT,1980,1987,/players/A/AckeBi20.htm,Bill Acker (NT) 1980-1987
Kenneth Acker,AckeKe00,CB,2014,2017,/players/A/AckeKe00.htm,Kenneth Acker (CB) 2014-2017
Rick Ackerman,AckeRi20,NT-DT,1982,1987,/players/A/AckeRi20.htm,Rick Ackerman (NT-DT) 1982-1987
Tom Ackerman,AckeTo20,G-C,1996,2003,/players/A/AckeTo20.htm,Tom Ackerman (G-C) 1996-2003
Ron Acks,AcksRo20,LB,1968,1976,/players/A/AcksRo20.htm,Ron Acks (LB) 1968-1976
Fred Acorn,AcorFr20,DB,1984,1984,/players/A/AcorFr20.htm,Fred Acorn (DB) 1984-1984
Ed Adamchik,AdamEd20,C,1965,1965,/players/A/AdamEd20.htm,Ed Adamchik (C) 1965-1965
Mike Adamle,AdamMi01,RB,1971,1976,/players/A/AdamMi01.htm,Mike Adamle (RB) 1971-1976
Tony Adamle,AdamTo02,LB-FB,1947,1954,/players/A/AdamTo02.htm,Tony Adamle (LB-FB) 1947-1954
Aaron Adams,AdamAa00,T,2014,2014,/players/A/AdamAa00.htm,Aaron Adams (T) 2014-2014
Andrew Adams,AdamAn01,S,2016,2017,/players/A/AdamAn01.htm,Andrew Adams (S) 2016-2017
Anthony Adams,AdamAn20,DT-NT,2003,2011,/players/A/AdamAn20.htm,Anthony Adams (DT-NT) 2003-2011
Bill Adams,AdamBi20,G-T,1972,1978,/players/A/AdamBi20.htm,Bill Adams (G-T) 1972-1978
Blue Adams,AdamBl20,DB,2003,2007,/players/A/AdamBl20.htm,Blue Adams (DB) 2003-2007
Bob Adams,AdamBo00,TE-T,1969,1976,/players/A/AdamBo00.htm,Bob Adams (TE-T) 1969-1976
Brent Adams,AdamBr20,T,1975,1977,/players/A/AdamBr20.htm,Brent Adams (T) 1975-1977
Charlie Adams,AdamCh00,WR,2003,2005,/players/A/AdamCh00.htm,Charlie Adams (WR) 2003-2005
Chet Adams,AdamCh20,T-E-DT,1939,1950,/players/A/AdamCh20.htm,Chet Adams (T-E-DT) 1939-1950
Curtis Adams,AdamCu00,RB,1985,1988,/players/A/AdamCu00.htm,Curtis Adams (RB) 1985-1988
D.J. Adams,AdamD.00,RB,2014,2014,/players/A/AdamD.00.htm,D.J. Adams (RB) 2014-2014
Darvin Adams,AdamDa00,WR,2011,2011,/players/A/AdamDa00.htm,Darvin Adams (WR) 2011-2011
Davante Adams,AdamDa01,WR,2014,2017,/players/A/AdamDa01.htm,Davante Adams (WR) 2014-2017
David Adams,AdamDa20,RB,1987,1987,/players/A/AdamDa20.htm,David Adams (RB) 1987-1987
Doug Adams,AdamDo20,LB,1971,1974,/players/A/AdamDo20.htm,Doug Adams (LB) 1971-1974
Earnest Adams,AdamEa20,LB,1987,1987,/players/A/AdamEa20.htm,Earnest Adams (LB) 1987-1987
Flozell Adams,AdamFl00,T-G-TE,1998,2010,/players/A/AdamFl00.htm,Flozell Adams (T-G-TE) 1998-2010
Gaines Adams,AdamGa99,DE,2007,2009,/players/A/AdamGa99.htm,Gaines Adams (DE) 2007-2009
George Adams,AdamGe00,RB,1985,1991,/players/A/AdamGe00.htm,George Adams (RB) 1985-1991
Henry Adams,AdamHe20,C,1939,1939,/players/A/AdamHe20.htm,Henry Adams (C) 1939-1939
Jamal Adams,AdamJa00,SS,2017,2017,/players/A/AdamJa00.htm,Jamal Adams (SS) 2017-2017
Jamar Adams,AdamJa20,DB,2008,2010,/players/A/AdamJa20.htm,Jamar Adams (DB) 2008-2010
Jeff Adams,AdamJe00,T,2012,2015,/players/A/AdamJe00.htm,Jeff Adams (T) 2012-2015
Jerell Adams,AdamJe01,TE,2016,2017,/players/A/AdamJe01.htm,Jerell Adams (TE) 2016-2017
Joe Adams,AdamJo01,WR,2012,2012,/players/A/AdamJo01.htm,Joe Adams (WR) 2012-2012
John Adams,AdamJo20,T,1945,1949,/players/A/AdamJo20.htm,John Adams (T) 1945-1949
John Adams,AdamJo00,E-FB,1959,1963,/players/A/AdamJo00.htm,John Adams (E-FB) 1959-1963
Johnny Adams,AdamJo02,CB,2013,2013,/players/A/AdamJo02.htm,Johnny Adams (CB) 2013-2013
Julius Adams,AdamJu00,DE-DT,1971,1987,/players/A/AdamJu00.htm,Julius Adams (DE-DT) 1971-1987
Keith Adams,AdamKe20,LB,2001,2007,/players/A/AdamKe20.htm,Keith Adams (LB) 2001-2007
Kendrick Adams,AdamKe01,DL,2012,2012,/players/A/AdamKe01.htm,Kendrick Adams (DL) 2012-2012
Kris Adams,AdamKr00,WR,2012,2012,/players/A/AdamKr00.htm,Kris Adams (WR) 2012-2012
Kyle Adams,AdamKy00,TE,2011,2013,/players/A/AdamKy00.htm,Kyle Adams (TE) 2011-2013
Michael Adams,AdamMi20,DB,1987,1989,/players/A/AdamMi20.htm,Michael Adams (DB) 1987-1989
Michael Adams,AdamMi98,DB,2007,2013,/players/A/AdamMi98.htm,Michael Adams (DB) 2007-2013
Mike Adams,AdamMi00,WR,1997,1997,/players/A/AdamMi00.htm,Mike Adams (WR) 1997-1997
Mike Adams,AdamMi21,DB,2004,2017,/players/A/AdamMi21.htm,Mike Adams (DB) 2004-2017
Mike Adams,AdamMi02,OT,2012,2016,/players/A/AdamMi02.htm,Mike Adams (OT) 2012-2016
Montravius Adams,AdamMo00,DT,2017,2017,/players/A/AdamMo00.htm,Montravius Adams (DT) 2017-2017
Neal Adams,AdamNe20,E,1942,1947,/players/A/AdamNe20.htm,Neal Adams (E) 1942-1947
Pete Adams,AdamPe20,G,1974,1976,/players/A/AdamPe20.htm,Pete Adams (G) 1974-1976
Phillip Adams,AdamPh00,DB,2010,2015,/players/A/AdamPh00.htm,Phillip Adams (DB) 2010-2015
Rodney Adams,AdamRo01,WR,2017,2017,/players/A/AdamRo01.htm,Rodney Adams (WR) 2017-2017
Sam Adams,AdamSa20,G-T,1972,1981,/players/A/AdamSa20.htm,Sam Adams (G-T) 1972-1981
Sam Adams,AdamSa00,DT-DE,1994,2007,/players/A/AdamSa00.htm,Sam Adams (DT-DE) 1994-2007
Scott Adams,AdamSc20,G-T,1992,1997,/players/A/AdamSc20.htm,Scott Adams (G-T) 1992-1997
Stan Adams,AdamSt20,LB,1984,1984,/players/A/AdamSt20.htm,Stan Adams (LB) 1984-1984
Stefon Adams,AdamSt21,DB,1986,1990,/players/A/AdamSt21.htm,Stefon Adams (DB) 1986-1990
Theo Adams,AdamTh20,T,1992,1993,/players/A/AdamTh20.htm,Theo Adams (T) 1992-1993
Titus Adams,AdamTi00,DT,2009,2009,/players/A/AdamTi00.htm,Titus Adams (DT) 2009-2009
Tom Adams,AdamTo01,WR,1962,1962,/players/A/AdamTo01.htm,Tom Adams (WR) 1962-1962
Tony Adams,AdamTo00,QB,1975,1987,/players/A/AdamTo00.htm,Tony Adams (QB) 1975-1987
Tyrell Adams,AdamTy00,LB,2016,2017,/players/A/AdamTy00.htm,Tyrell Adams (LB) 2016-2017
Vashone Adams,AdamVa20,DB,1995,1997,/players/A/AdamVa20.htm,Vashone Adams (DB) 1995-1997
Verlin Adams,AdamVe20,DE-T-G-E-LB,1943,1945,/players/A/AdamVe20.htm,Verlin Adams (DE-T-G-E-LB) 1943-1945
Willie Adams,AdamWi20,DE-LB,1965,1966,/players/A/AdamWi20.htm,Willie Adams (DE-LB) 1965-1966
Willis Adams,AdamWi00,WR,1979,1985,/players/A/AdamWi00.htm,Willis Adams (WR) 1979-1985
Ken Adamson,AdamKe00,G,1960,1962,/players/A/AdamKe00.htm,Ken Adamson (G) 1960-1962
Levy Adcock,AdcoLe00,T,2012,2012,/players/A/AdcoLe00.htm,Levy Adcock (T) 2012-2012
Jahleel Addae,AddaJa00,S,2013,2017,/players/A/AddaJa00.htm,Jahleel Addae (S) 2013-2017
Joseph Addai,AddaJo00,RB,2006,2011,/players/A/AddaJo00.htm,Joseph Addai (RB) 2006-2011
Abe Addams,AddaAb20,DE,1949,1949,/players/A/AddaAb20.htm,Abe Addams (DE) 1949-1949
Herb Adderley+,AddeHe00,DB,1961,1972,/players/A/AddeHe00.htm,Herb Adderley+ (DB) 1961-1972
Bralon Addison,AddiBr01,RB,2016,2016,/players/A/AddiBr01.htm,Bralon Addison (RB) 2016-2016
Mario Addison,AddiMa00,DE,2011,2017,/players/A/AddiMa00.htm,Mario Addison (DE) 2011-2017
Tom Addison,AddiTo00,LB,1960,1967,/players/A/AddiTo00.htm,Tom Addison (LB) 1960-1967
Nick Adduci,AdduNi20,LB,1954,1955,/players/A/AdduNi20.htm,Nick Adduci (LB) 1954-1955
Quincy Adeboyejo,AdebQu00,WR,2017,2017,/players/A/AdebQu00.htm,Quincy Adeboyejo (WR) 2017-2017
Victor Adeyanju,AdeyVi20,DE,2006,2009,/players/A/AdeyVi20.htm,Victor Adeyanju (DE) 2006-2009
Xavier Adibi,AdibXa99,LB,2008,2012,/players/A/AdibXa99.htm,Xavier Adibi (LB) 2008-2012
John Adickes,AdicJo20,C,1987,1989,/players/A/AdicJo20.htm,John Adickes (C) 1987-1989
Mark Adickes,AdicMa20,G,1986,1991,/players/A/AdicMa20.htm,Mark Adickes (G) 1986-1991
Jude Adjei-Barimah,AdjeJu00,CB,2015,2016,/players/A/AdjeJu00.htm,Jude Adjei-Barimah (CB) 2015-2016
Bob Adkins,AdkiBo20,BB-DE-G-LB,1940,1945,/players/A/AdkiBo20.htm,Bob Adkins (BB-DE-G-LB) 1940-1945
Kevin Adkins,AdkiKe20,DB,1987,1987,/players/A/AdkiKe20.htm,Kevin Adkins (DB) 1987-1987
Margene Adkins,AdkiMa00,WR,1970,1973,/players/A/AdkiMa00.htm,Margene Adkins (WR) 1970-1973
Roy Adkins,AdkiRo20,G,1920,1920,/players/A/AdkiRo20.htm,Roy Adkins (G) 1920-1920
Sam Adkins,AdkiSa00,QB,1977,1981,/players/A/AdkiSa00.htm,Sam Adkins (QB) 1977-1981
Spencer Adkins,AdkiSp99,LB,2009,2011,/players/A/AdkiSp99.htm,Spencer Adkins (LB) 2009-2011
James Adkisson,AdkiJa00,WR,2006,2006,/players/A/AdkiJa00.htm,James Adkisson (WR) 2006-2006
Daniel Adongo,AdonDa00,LB,2013,2015,/players/A/AdonDa00.htm,Daniel Adongo (LB) 2013-2015
Al Afalava,AfalAl99,DB,2009,2012,/players/A/AfalAl99.htm,Al Afalava (DB) 2009-2012
Erik Affholter,AffhEr00,WR,1991,1991,/players/A/AffhEr00.htm,Erik Affholter (WR) 1991-1991
Dick Afflis,AfflDi20,T-DG-G,1951,1954,/players/A/AfflDi20.htm,Dick Afflis (T-DG-G) 1951-1954
Ben Agajanian,AgajBe20,K,1945,1964,/players/A/AgajBe20.htm,Ben Agajanian (K) 1945-1964
Alex Agase,AgasAl20,LB-G,1947,1953,/players/A/AgasAl20.htm,Alex Agase (LB-G) 1947-1953
Louis Age,AgexLo20,T,1992,1992,/players/A/AgexLo20.htm,Louis Age (T) 1992-1992
Mel Agee,AgeeMe20,DE-DT,1991,1995,/players/A/AgeeMe20.htm,Mel Agee (DE-DT) 1991-1995
Sam Agee,AgeeSa20,FB,1938,1939,/players/A/AgeeSa20.htm,Sam Agee (FB) 1938-1939
Tommie Agee,AgeeTo00,RB,1988,1994,/players/A/AgeeTo00.htm,Tommie Agee (RB) 1988-1994
Nelson Agholor,AghoNe00,WR,2015,2017,/players/A/AghoNe00.htm,Nelson Agholor (WR) 2015-2017
Bob Agler,AgleBo20,HB-DB-FB-LB,1948,1949,/players/A/AgleBo20.htm,Bob Agler (HB-DB-FB-LB) 1948-1949
Jamal Agnew,AgneJa00,CB,2017,2017,/players/A/AgneJa00.htm,Jamal Agnew (CB) 2017-2017
Ray Agnew,AgneRa20,DT-DE,1990,2000,/players/A/AgneRa20.htm,Ray Agnew (DT-DE) 1990-2000
Ray Agnew,AgneRa00,FB,2014,2014,/players/A/AgneRa00.htm,Ray Agnew (FB) 2014-2014
Vince Agnew,AgneVi00,CB,2012,2012,/players/A/AgneVi00.htm,Vince Agnew (CB) 2012-2012
Roberto Aguayo,AguaRo00,K,2016,2016,/players/A/AguaRo00.htm,Roberto Aguayo (K) 2016-2016
Louie Aguiar,aguialou01,P,1991,2000,/players/A/aguialou01.htm,Louie Aguiar (P) 1991-2000
Joe Aguirre,AguiJo20,E,1941,1949,/players/A/AguiJo20.htm,Joe Aguirre (E) 1941-1949
C.J. Ah You,AhYoC.00,DE,2009,2011,/players/A/AhYoC.00.htm,C.J. Ah You (DE) 2009-2011
Chidi Ahanotu,AhanCh20,DE-DT,1993,2004,/players/A/AhanCh20.htm,Chidi Ahanotu (DE-DT) 1993-2004
Dan Ahern,AherDa20,T,1921,1921,/players/A/AherDa20.htm,Dan Ahern (T) 1921-1921
Dave Ahrens,AhreDa20,LB,1981,1990,/players/A/AhreDa20.htm,Dave Ahrens (LB) 1981-1990
Tony Aiello,AielTo20,WB-BB,1944,1944,/players/A/AielTo20.htm,Tony Aiello (WB-BB) 1944-1944
Danny Aiken,AikeDa00,LS,2011,2015,/players/A/AikeDa00.htm,Danny Aiken (LS) 2011-2015
Kamar Aiken,AikeKa00,WR,2011,2017,/players/A/AikeKa00.htm,Kamar Aiken (WR) 2011-2017
Sam Aiken,AikeSa00,WR,2003,2010,/players/A/AikeSa00.htm,Sam Aiken (WR) 2003-2010
Carl Aikens,AikeCa20,WR,1987,1987,/players/A/AikeCa20.htm,Carl Aikens (WR) 1987-1987
Walt Aikens,AikeWa00,CB,2014,2017,/players/A/AikeWa00.htm,Walt Aikens (CB) 2014-2017
Troy Aikman+,AikmTr00,QB,1989,2000,/players/A/AikmTr00.htm,Troy Aikman+ (QB) 1989-2000
Jim Ailinger,AiliJi20,G,1924,1924,/players/A/AiliJi20.htm,Jim Ailinger (G) 1924-1924
Charles Aiu,AiuxCh20,G,1976,1978,/players/A/AiuxCh20.htm,Charles Aiu (G) 1976-1978
Victor Aiyewa,AiyeVi00,LB,2013,2013,/players/A/AiyeVi00.htm,Victor Aiyewa (LB) 2013-2013
Jay Ajayi,AjayJa00,RB,2015,2017,/players/A/AjayJa00.htm,Jay Ajayi (RB) 2015-2017
Seyi Ajirotutu,AjirSe00,WR,2010,2015,/players/A/AjirSe00.htm,Seyi Ajirotutu (WR) 2010-2015
Hakim Akbar,AkbaHa20,LB,2001,2002,/players/A/AkbaHa20.htm,Hakim Akbar (LB) 2001-2002
David Akers,akersdav01,K,1998,2013,/players/A/akersdav01.htm,David Akers (K) 1998-2013
Harold Akin,AkinHa20,T,1967,1968,/players/A/AkinHa20.htm,Harold Akin (T) 1967-1968
Len Akin,AkinLe20,G-LB,1942,1942,/players/A/AkinLe20.htm,Len Akin (G-LB) 1942-1942
Al Akins,AkinAl20,HB-DB,1946,1948,/players/A/AkinAl20.htm,Al Akins (HB-DB) 1946-1948
Chris Akins,AkinCh20,DB,1999,2003,/players/A/AkinCh20.htm,Chris Akins (DB) 1999-2003
Frank Akins,AkinFr00,FB,1943,1946,/players/A/AkinFr00.htm,Frank Akins (FB) 1943-1946
Mike Akiu,AkiuMi20,WR,1985,1986,/players/A/AkiuMi20.htm,Mike Akiu (WR) 1985-1986
Anthony Alabi,AlabAn20,T,2006,2007,/players/A/AlabAn20.htm,Anthony Alabi (T) 2006-2007
Ikaika Alama-Francis,AlamIk99,DE,2007,2011,/players/A/AlamIk99.htm,Ikaika Alama-Francis (DE) 2007-2011
Dick Alban,AlbaDi00,DB,1952,1959,/players/A/AlbaDi00.htm,Dick Alban (DB) 1952-1959
Dom Albanese,AlbaDo20,BB-E-FB,1925,1925,/players/A/AlbaDo20.htm,Dom Albanese (BB-E-FB) 1925-1925
Vannie Albanese,AlbaVa20,FB-DB-BB-LB,1937,1938,/players/A/AlbaVa20.htm,Vannie Albanese (FB-DB-BB-LB) 1937-1938
Tom Alberghini,AlbeTo20,G,1945,1945,/players/A/AlbeTo20.htm,Tom Alberghini (G) 1945-1945
Branden Albert,AlbeBr20,G,2008,2016,/players/A/AlbeBr20.htm,Branden Albert (G) 2008-2016
Frankie Albert,AlbeFr00,QB-DB,1946,1952,/players/A/AlbeFr00.htm,Frankie Albert (QB-DB) 1946-1952
Sergio Albert,AlbeSe20,K,1974,1974,/players/A/AlbeSe20.htm,Sergio Albert (K) 1974-1974
Trev Alberts,AlbeTr20,LB,1994,1996,/players/A/AlbeTr20.htm,Trev Alberts (LB) 1994-1996
Art Albrecht,AlbrAr20,T-C-LB,1942,1944,/players/A/AlbrAr20.htm,Art Albrecht (T-C-LB) 1942-1944
Ted Albrecht,AlbrTe20,T-G,1977,1981,/players/A/AlbrTe20.htm,Ted Albrecht (T-G) 1977-1981
Alex Albright,AlbrAl00,LB,2011,2012,/players/A/AlbrAl00.htm,Alex Albright (LB) 2011-2012
Bill Albright,AlbrBi20,G-T-DT,1951,1954,/players/A/AlbrBi20.htm,Bill Albright (G-T-DT) 1951-1954
Bryson Albright,AlbrBr00,LB,2016,2017,/players/A/AlbrBr00.htm,Bryson Albright (LB) 2016-2017
Ethan Albright,AlbrEt20,G-C-T,1995,2010,/players/A/AlbrEt20.htm,Ethan Albright (G-C-T) 1995-2010
Ira Albright,AlbrIr20,NT-RB,1987,1987,/players/A/AlbrIr20.htm,Ira Albright (NT-RB) 1987-1987
Vince Albritton,AlbrVi20,DB,1984,1991,/players/A/AlbrVi20.htm,Vince Albritton (DB) 1984-1991
Zac Alcorn,AlcoZa20,TE,2006,2006,/players/A/AlcoZa20.htm,Zac Alcorn (TE) 2006-2006
Grady Alderman,AldeGr00,T-G,1960,1974,/players/A/AldeGr00.htm,Grady Alderman (T-G) 1960-1974
John Alderton,AldeJo20,DE,1953,1953,/players/A/AldeJo20.htm,John Alderton (DE) 1953-1953
Ki Aldrich,AldrKi20,C-LB-G,1939,1947,/players/A/AldrKi20.htm,Ki Aldrich (C-LB-G) 1939-1947
Allen Aldridge,AldrAl20,DE,1971,1974,/players/A/AldrAl20.htm,Allen Aldridge (DE) 1971-1974
Allen Aldridge,AldrAl21,LB,1994,2001,/players/A/AldrAl21.htm,Allen Aldridge (LB) 1994-2001
Bennie Aldridge,AldrBe00,DB-HB,1950,1953,/players/A/AldrBe00.htm,Bennie Aldridge (DB-HB) 1950-1953
Jerry Aldridge,AldrJe20,RB,1980,1980,/players/A/AldrJe20.htm,Jerry Aldridge (RB) 1980-1980
Kevin Aldridge,AldrKe20,DE,2002,2002,/players/A/AldrKe20.htm,Kevin Aldridge (DE) 2002-2002
Lionel Aldridge,AldrLi20,DE,1963,1973,/players/A/AldrLi20.htm,Lionel Aldridge (DE) 1963-1973
Melvin Aldridge,AldrMe20,DB,1993,1995,/players/A/AldrMe20.htm,Melvin Aldridge (DB) 1993-1995
Arnold Ale,AlexAr20,LB,1994,1996,/players/A/AlexAr20.htm,Arnold Ale (LB) 1994-1996
Ink Aleaga,AleaIn20,LB,1997,1999,/players/A/AleaIn20.htm,Ink Aleaga (LB) 1997-1999
Chas Alecxih,AlecCh00,DT,2012,2014,/players/A/AlecCh00.htm,Chas Alecxih (DT) 2012-2014
Keith Alex,AlexKe20,G,1993,1993,/players/A/AlexKe20.htm,Keith Alex (G) 1993-1993
Steve Alexakos,AlexSt20,G,1970,1971,/players/A/AlexSt20.htm,Steve Alexakos (G) 1970-1971
Alvester Alexander,AlexAl00,RB,2012,2012,/players/A/AlexAl00.htm,Alvester Alexander (RB) 2012-2012
Brent Alexander,AlexBr20,DB,1994,2005,/players/A/AlexBr20.htm,Brent Alexander (DB) 1994-2005
Bruce Alexander,AlexBr21,DB,1989,1993,/players/A/AlexBr21.htm,Bruce Alexander (DB) 1989-1993
Charles Alexander,AlexCh00,RB,1979,1985,/players/A/AlexCh00.htm,Charles Alexander (RB) 1979-1985
D.J. Alexander,AlexD.00,OLB,2015,2017,/players/A/AlexD.00.htm,D.J. Alexander (OLB) 2015-2017
Dan Alexander,AlexDa20,G-T,1977,1989,/players/A/AlexDa20.htm,Dan Alexander (G-T) 1977-1989
Dan Alexander,AlexDa21,RB,2001,2003,/players/A/AlexDa21.htm,Dan Alexander (RB) 2001-2003
Danario Alexander,AlexDa00,WR,2010,2012,/players/A/AlexDa00.htm,Danario Alexander (WR) 2010-2012
David Alexander,AlexDa22,C-G-T,1987,1996,/players/A/AlexDa22.htm,David Alexander (C-G-T) 1987-1996
Derrick Alexander,AlexDe00,WR,1994,2002,/players/A/AlexDe00.htm,Derrick Alexander (WR) 1994-2002
Derrick Alexander,AlexDe20,DE,1995,1999,/players/A/AlexDe20.htm,Derrick Alexander (DE) 1995-1999
Doc Alexander,AlexDo20,C-G-T-E,1921,1927,/players/A/AlexDo20.htm,Doc Alexander (C-G-T-E) 1921-1927
Dominique Alexander,AlexDo01,LB,2016,2017,/players/A/AlexDo01.htm,Dominique Alexander (LB) 2016-2017
Elijah Alexander,AlexEl20,LB,1992,2001,/players/A/AlexEl20.htm,Elijah Alexander (LB) 1992-2001
Eric Alexander,AlexEr20,LB,2004,2010,/players/A/AlexEr20.htm,Eric Alexander (LB) 2004-2010
Frank Alexander,AlexFr00,DE,2012,2014,/players/A/AlexFr00.htm,Frank Alexander (DE) 2012-2014
Gerald Alexander,AlexGe99,DB,2007,2011,/players/A/AlexGe99.htm,Gerald Alexander (DB) 2007-2011
Glenn Alexander,AlexGl00,WR,1970,1970,/players/A/AlexGl00.htm,Glenn Alexander (WR) 1970-1970
Harold Alexander,AlexHa20,P,1993,1994,/players/A/AlexHa20.htm,Harold Alexander (P) 1993-1994
Jeff Alexander,AlexJe00,RB,1989,1992,/players/A/AlexJe00.htm,Jeff Alexander (RB) 1989-1992
John Alexander,AlexJo20,T,1922,1926,/players/A/AlexJo20.htm,John Alexander (T) 1922-1926
John Alexander,AlexJo21,DE,1977,1978,/players/A/AlexJo21.htm,John Alexander (DE) 1977-1978
Kermit Alexander,AlexKe01,DB,1963,1973,/players/A/AlexKe01.htm,Kermit Alexander (DB) 1963-1973
Kevin Alexander,AlexKe00,WR,1996,1997,/players/A/AlexKe00.htm,Kevin Alexander (WR) 1996-1997
Kevin Alexander,AlexKe02,LB-DE,2010,2010,/players/A/AlexKe02.htm,Kevin Alexander (LB-DE) 2010-2010
Kwon Alexander,AlexKw00,OLB,2015,2017,/players/A/AlexKw00.htm,Kwon Alexander (OLB) 2015-2017
Lorenzo Alexander,AlexLo99,DT,2007,2017,/players/A/AlexLo99.htm,Lorenzo Alexander (DT) 2007-2017
Mackensie Alexander,AlexMa01,CB,2016,2017,/players/A/AlexMa01.htm,Mackensie Alexander (CB) 2016-2017
Maurice Alexander,AlexMa00,SS,2014,2017,/players/A/AlexMa00.htm,Maurice Alexander (SS) 2014-2017
Mike Alexander,AlexMi00,WR,1989,1991,/players/A/AlexMi00.htm,Mike Alexander (WR) 1989-1991
