Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Pfr_ID
67,LeSean McCoy,2009,2011,2-53,PHI,NFL,46,32,3,1,1,32,McCoLe01
68,Shawne Merriman,2005,2007,1-12,SDG,NFL,42,37,3,3,1,32,MerrSh99
69,Richard Seymour,2001,2003,1-6,NWE,NFL,44,40,3,2,1,32,SeymRi00
70,Earl Thomas,2010,2012,1-14,SEA,NFL,48,48,3,2,1,32,ThomEa99
71,LaVar Arrington,2000,2002,1-2,WAS,NFL,46,41,3,2,0,31,ArriLa00
72,Kendrell Bell,2001,2003,2-39,PIT,NFL,44,44,3,1,0,31,BellKe20
73,Mike Brown,2000,2002,2-39,CHI,NFL,48,47,3,0,1,31,BrowMi99
74,Marc Bulger,2002,2004,6-168,RAM,NFL,36,36,3,1,0,31,BulgMa00
75,Todd Gurley,2015,2017,1-10,RAM,NFL,44,43,3,2,1,31,GurlTo01
76,Marcus McNeill,2006,2008,2-50,SDG,NFL,46,46,3,2,0,31,McNeMa20
77,Haloti Ngata,2006,2008,1-12,RAV,NFL,48,48,3,0,0,31,NgatHa20
78,Sheldon Richardson,2013,2015,1-13,NYJ,NFL,43,41,3,1,0,31,RichSh00
79,Daryl Washington,2010,2012,2-47,CRD,NFL,47,41,3,1,0,31,WashDa99
80,Le'Veon Bell,2013,2015,2-48,PIT,NFL,35,35,3,1,1,30,BellLe00
81,Reggie Bush,2006,2008,1-2,NOR,NFL,38,27,3,0,0,30,BushRe00
82,Derek Carr,2014,2016,2-36,RAI,NFL,47,47,3,2,0,30,CarrDe02
83,Jamaal Charles,2008,2010,3-73,KAN,NFL,47,18,3,1,1,30,CharJa00
84,Jay Cutler,2006,2008,1-11,DEN,NFL,37,37,3,1,0,30,CutlJa00
85,Devonta Freeman,2014,2016,4-103,ATL,NFL,47,29,3,2,0,30,FreeDe00
86,Antonio Gates,2003,2005,,SDG,NFL,45,41,3,2,2,30,GateAn00
87,Nick Hardwick,2004,2006,3-66,SDG,NFL,43,43,3,1,0,30,HardNi55
88,T.Y. Hilton,2012,2014,3-92,CLT,NFL,46,26,3,1,0,30,HiltT.00
89,Mike Iupati,2010,2012,1-17,SFO,NFL,48,48,3,1,1,30,IupaMi20
90,Jerod Mayo,2008,2010,1-10,NWE,NFL,45,44,3,1,1,30,MayoJe99
91,Donovan McNabb,2000,2001,1-2,PHI,NFL,32,32,2,2,0,30,McNaDo00
92,Julius Peppers,2002,2004,1-2,CAR,NFL,44,44,3,1,1,30,PeppJu99
93,Dontari Poe,2012,2014,1-11,KAN,NFL,47,47,3,2,0,30,PoexDo00
94,Dak Prescott,2016,2017,4-135,DAL,NFL,32,32,2,1,0,30,PresDa01
95,Tyron Smith,2011,2013,1-9,DAL,NFL,47,47,3,1,0,30,SmitTy00
96,Roy Williams,2002,2004,1-8,DAL,NFL,48,48,3,2,1,30,WillRo03
97,Blake Bortles,2014,2016,1-3,JAX,NFL,46,45,3,0,0,29,BortBl00
98,Jammal Brown,2005,2007,1-13,NOR,NFL,43,43,3,1,1,29,BrowJa55
99,Brian Cushing,2009,2011,1-15,HTX,NFL,44,44,3,1,0,29,CushBr99
100,Lavonte David,2012,2014,2-58,TAM,NFL,46,46,3,0,1,29,DaviLa00
101,Dwight Freeney,2002,2004,1-11,CLT,NFL,47,37,3,2,1,29,FreeDw00
102,Frank Gore,2005,2007,3-65,SFO,NFL,45,32,3,1,0,29,GoreFr00
103,Ryan Grant,2007,2009,,GNB,NFL,47,37,3,0,0,29,GranRy00
104,Rob Gronkowski,2010,2012,2-42,NWE,NFL,43,38,3,2,1,29,GronRo00
105,John Henderson,2002,2004,1-9,JAX,NFL,48,45,3,1,0,29,HendJo99
106,Shane Olivea,2004,2006,7-209,SDG,NFL,47,47,3,0,0,29,OlivSh20
107,Marcus Peters,2015,2017,1-18,KAN,NFL,45,45,3,2,1,29,PeteMa00
108,Joe Thomas,2007,2009,1-3,CLE,NFL,48,48,3,3,1,29,ThomJo28
109,Vontaze Burfict,2012,2014,,CIN,NFL,37,35,3,1,0,28,BurfVo00
110,Marques Colston,2006,2008,7-252,NOR,NFL,41,32,3,0,0,28,ColsMa00
111,Jahri Evans,2006,2008,4-108,NOR,NFL,48,48,3,0,0,28,EvanJa21
112,Lee Evans,2004,2006,1-13,BUF,NFL,48,41,3,0,0,28,EvanLe00
113,Travis Frederick,2013,2015,1-31,DAL,NFL,48,48,3,2,0,28,FredTr00
114,Devin Hester,2006,2008,2-57,CHI,NFL,47,8,3,2,2,28,HestDe99
115,Edgerrin James,2000,2001,1-4,CLT,NFL,22,22,2,1,0,28,JameEd00
116,Julio Jones,2011,2013,1-6,ATL,NFL,34,33,3,1,0,28,JoneJu02
117,Jake Matthews,2014,2016,1-6,ATL,NFL,47,47,3,0,0,28,MattJa00
118,Willis McGahee,2004,2006,1-23,BUF,NFL,46,40,3,0,0,28,McGaWi00
119,Terrence McGee,2003,2005,4-111,BUF,NFL,45,29,3,1,0,28,McGeTe99
120,Julian Peterson,2000,2002,1-16,SFO,NFL,43,37,3,1,0,28,PeteJu00
121,Troy Polamalu,2003,2005,1-16,PIT,NFL,48,32,3,2,1,28,PolaTr99
122,Cameron Wake,2009,2011,,MIA,NFL,46,31,3,1,0,28,WakeCa00
123,Mike Wallace,2009,2011,3-84,PIT,NFL,48,34,3,1,0,28,WallMi00
124,Ezekiel Ansah,2013,2015,1-5,DET,NFL,46,44,3,1,0,27,AnsaEz00
125,Kevan Barlow,2001,2003,3-80,SFO,NFL,45,4,3,0,0,27,BarlKe00
126,Mike Evans,2014,2016,1-7,TAM,NFL,46,45,3,1,0,27,EvanMi00
127,Cortland Finnegan,2006,2008,7-215,OTI,NFL,48,34,3,1,1,27,FinnCo20
128,Leon Hall,2007,2009,1-18,CIN,NFL,48,42,3,0,0,27,HallLe98
129,Ben Hamilton,2002,2004,4-113,DEN,NFL,48,48,3,0,0,27,HamiBe20
130,Cameron Jordan,2011,2013,1-24,NOR,NFL,48,47,3,1,0,27,JordCa00
131,Byron Leftwich,2003,2005,1-7,JAX,NFL,40,38,3,0,0,27,LeftBy00
132,Brandon Scherff,2015,2017,1-5,WAS,NFL,46,46,3,2,0,27,ScheBr00
133,Jake Scott,2004,2006,5-141,CLT,NFL,44,41,3,0,0,27,ScotJa21
134,Corey Simon,2000,2002,1-6,PHI,NFL,46,46,3,0,0,27,SimoCo00
135,Nate Solder,2011,2013,1-17,NWE,NFL,47,44,3,0,0,27,SoldNa00
136,Sebastian Vollmer,2009,2011,2-58,NWE,NFL,36,29,3,0,0,27,VollSe20
137,Leonard Williams,2015,2017,1-6,NYJ,NFL,48,47,3,1,0,27,WillLe02
138,LaMarr Woodley,2007,2009,2-46,PIT,NFL,44,31,3,1,0,27,WoodLa99
139,John Abraham,2000,2002,1-13,NYJ,NFL,38,31,3,2,1,26,AbraJo00
140,Shaun Alexander,2000,2002,1-19,SEA,NFL,48,29,3,0,0,26,AlexSh00
141,Champ Bailey,2000,2001,1-7,WAS,NFL,32,32,2,2,0,26,BailCh00
142,David Bakhtiari,2013,2015,4-109,GNB,NFL,46,46,3,0,0,26,BakhDa00
143,Khalif Barnes,2005,2007,2-52,JAX,NFL,44,41,3,0,0,26,BarnKh20
144,Anthony Barr,2014,2016,1-9,MIN,NFL,42,42,3,2,0,26,BarrAn00
145,Giovani Bernard,2013,2015,2-37,CIN,NFL,45,10,3,0,0,26,BernGi00
146,Dez Bryant,2010,2012,1-24,DAL,NFL,43,29,3,0,0,26,BryaDe01
147,Jurrell Casey,2011,2013,3-77,OTI,NFL,47,45,3,0,0,26,CaseJu00
148,Chris Chambers,2001,2003,2-52,MIA,NFL,47,38,3,0,0,26,ChamCh00
149,Laveranues Coles,2000,2002,3-78,NYJ,NFL,45,35,3,0,0,26,ColeLa00
150,Jamie Collins,2013,2015,2-52,NWE,NFL,43,35,3,1,0,26,CollJa00
151,Landon Collins,2015,2017,2-33,NYG,NFL,47,47,3,2,1,26,CollLa00
152,Chad Greenway,2007,2009,1-17,MIN,NFL,48,47,3,0,0,26,GreeCh99
153,Travis Henry,2001,2003,2-58,BUF,NFL,44,43,3,1,0,26,HenrTr00
154,Santonio Holmes,2006,2008,1-25,PIT,NFL,44,32,3,0,0,26,HolmSa00
155,DeAndre Hopkins,2013,2015,1-27,HTX,NFL,48,48,3,1,0,26,HopkDe00
156,Alshon Jeffery,2012,2014,2-45,CHI,NFL,42,36,3,1,0,26,JeffAl00
157,Greg Jennings,2006,2008,2-52,GNB,NFL,43,39,3,0,0,26,JennGr00
158,Andre Johnson,2003,2005,1-3,HTX,NFL,45,45,3,1,0,26,JohnAn02
159,Jarvis Landry,2014,2016,2-63,MIA,NFL,48,41,3,2,0,26,LandJa00
160,James Laurinaitis,2009,2011,2-35,RAM,NFL,48,48,3,0,0,26,LaurJa99
161,Nick Mangold,2006,2008,1-29,NYJ,NFL,48,48,3,1,0,26,MangNi20
162,Brandon Marshall,2006,2008,4-119,DEN,NFL,46,32,3,1,0,26,MarsBr00
163,Benardrick McKinney,2015,2017,2-43,HTX,NFL,46,43,3,0,0,26,McKiBe00
164,Alfred Morris,2012,2014,6-173,WAS,NFL,48,48,3,2,0,26,MorrAl00
165,DeMarco Murray,2011,2013,3-71,DAL,NFL,37,31,3,1,0,26,MurrDe00
166,Hakeem Nicks,2009,2011,1-29,NYG,NFL,42,33,3,0,0,26,NickHa01
167,Brian Orakpo,2009,2011,1-13,WAS,NFL,47,47,3,2,0,26,OrakBr99
168,Willie Parker,2004,2006,,PIT,NFL,39,31,3,1,0,26,ParkWi00
169,Jason Pierre-Paul,2010,2012,1-15,NYG,NFL,48,27,3,2,1,26,PierJa99
170,Chris Samuels,2000,2002,1-3,WAS,NFL,47,47,3,2,0,26,SamuCh00
171,Daryl Smith,2004,2006,2-39,JAX,NFL,47,45,3,0,0,26,SmitDa24
172,Terrell Suggs,2003,2005,1-10,RAV,NFL,48,33,3,1,0,26,SuggTe99
173,Nathan Vasher,2004,2006,4-110,CHI,NFL,46,35,3,1,0,26,VashNa99
174,Jonathan Vilma,2004,2006,1-12,NYJ,NFL,48,46,3,1,0,26,VilmJo99
175,Todd Wade,2000,2002,2-53,MIA,NFL,47,47,3,0,0,26,WadeTo20
176,Brian Westbrook,2002,2004,3-91,PHI,NFL,43,23,3,1,0,26,WestBr00
177,D.J. Williams,2004,2006,1-17,DEN,NFL,48,43,3,0,0,26,WillD.20
178,Shawn Andrews,2004,2006,1-16,PHI,NFL,33,33,3,1,1,25,AndrSh55
179,Nick Barnett,2003,2005,1-29,GNB,NFL,47,47,3,0,0,25,BarnNi20
180,LeCharles Bentley,2002,2004,2-44,NOR,NFL,43,43,3,1,0,25,BentLe00
181,Anquan Boldin,2003,2005,2-54,CRD,NFL,40,39,3,1,0,25,BoldAn00
182,Tom Brady,2000,2002,6-199,NWE,NFL,32,30,3,1,0,25,BradTo00
183,Justin Britt,2014,2016,2-64,SEA,NFL,47,47,3,0,0,25,BritJu00
184,Duane Brown,2008,2010,1-26,HTX,NFL,44,44,3,0,0,25,BrowDu20
185,Plaxico Burress,2000,2002,1-8,PIT,NFL,44,40,3,0,0,25,BurrPl00
186,David Carr,2002,2004,1-1,HTX,NFL,44,43,3,0,0,25,CarrDa00
187,Trent Cole,2005,2007,5-146,PHI,NFL,47,37,3,1,0,25,ColeTr20
188,Brandin Cooks,2014,2016,1-20,NOR,NFL,42,32,3,0,0,25,CookBr00
189,Amari Cooper,2015,2017,1-4,RAI,NFL,46,41,3,2,0,25,CoopAm00
190,Fletcher Cox,2012,2014,1-12,PHI,NFL,47,41,3,0,0,25,CoxxFl00
191,Victor Cruz,2010,2012,,NYG,NFL,35,23,3,1,0,25,CruzVi00
192,Brian De La Puente,2011,2013,,NOR,NFL,48,44,3,0,0,25,DeLaBr00
193,Ezekiel Elliott,2016,2017,1-4,DAL,NFL,25,25,2,1,1,25,ElliEz00
194,Melvin Gordon,2015,2017,1-15,SDG,NFL,43,40,3,1,0,25,GordMe00
195,DeAngelo Hall,2004,2006,1-8,ATL,NFL,41,40,3,2,0,25,HallDe99
196,David Johnson,2015,2017,3-86,CRD,NFL,33,22,3,1,1,25,JohnDa08
197,Larry Johnson,2003,2005,1-27,KAN,NFL,32,12,3,1,0,25,JohnLa00
198,Levi Jones,2002,2004,1-10,CIN,NFL,48,46,3,0,0,25,JoneLe23
199,Matt Kalil,2012,2014,1-4,MIN,NFL,48,48,3,1,0,25,KaliMa00
